SKU,Product Name,Min Q,UPC
S4221-RD,"Rose Bud Silk Flower Stem - 30""",2,848644017684
S4221-SMPC,"Rose Bud Silk Flower Stem - 30""",2,848644017691
S4221-WH,"Rose Bud Silk Flower Stem - 30""",2,848644017707
S4221-YE,"Rose Bud Silk Flower Stem - 30""",2,848644017714
S4428-CF,"Faux Echeveria Artificial Foliage Spray - 13""",2,848644018995
S4430-BUGR,"Hen & Chick Artificial Foliage Stem - 13""",2,848644019015
S4447-RE,"Velvet Silk Poinsettia Bush - 13""",2,848644019022
S4543-GR,"Artificial Agave Succulent Plant Foliage (x 2) - 12""",2,848644019077
S4564-GR,"Happy Leaves Artifical Foliage Flower Stem Spray - 49""",2,848644019152
S4565-YE,"Forsythia Silk Flower Stem - 41""",2,848644017813
S4568-PK,,2,848644019206
S4647-CRGR,"Achillea Artificial Flower Stem Spray - 24""",2,848644019336
S4657-OR,"Prunus Silk Flower Stem Spray - 34""",2,848644019398
S4673-GR,"Jade Silk Flower Stem - 9""",2,848644019459
S4675-ORPU,"Artificial Bird of Paradise Flower Stem - 33""",2,848644017974
S4676-GR,"Faux Shikiba Artificial Foliage Stem - 26""",2,848644019466
S4683-CR,"Artificial Birch Twig Foliage Stem - 43""",2,848644017981
S4697-CRLV,"Mini Phalaenopsis Orchid Artificial Foliage Stem - 18""",2,848644019541
S4697-LV,"Mini Phalaenopsis Orchid Artificial Foliage Stem - 18""",2,848644019558
S4697-WH,"Mini Phalaenopsis Orchid Artificial Foliage Stem - 18""",2,848644019565
S4699-LTLV,"Ruffled Phalaenopsis Fuax Orchid Foliage Stem - 32""",2,848644019572
S4702-PL,"Artificial Mini Star Orchid Foliage Stem - 18""",2,848644019619
S4725-GR,"Artificial Grass Bush Foliage with Buds - 16""",2,848644019756
S4772-YOR,"Artificial Ginger with Leaf Stem - 31""",2,848644019831
S4900-FL,"Artificial Torch Ginger Foliage Stem - 31""",2,848644018070
S4900-YER,"Artificial Torch Ginger Foliage Stem - 31""",2,848644018087
S4901-BLG,"Silk Hydrangea Faux Flower Stem - 33""",2,848644018094
S4901-CGP,"Silk Hydrangea Faux Flower Stem - 33""",2,848644018100
S4901-MVP,"Silk Hydrangea Faux Flower Stem - 33""",2,848644018117
S4901-WH,"Silk Hydrangea Faux Flower Stem - 33""",2,848644018124
S4909-PU,"Magnolia Silk Flower Stem Spray - 17""",2,848644020257
S4909-WH,"Magnolia Silk Flower Stem Spray - 17""",2,848644020264
S4960-TTG,"Hostag Leaf Artificial Hanging Bush Cluster - 39""",2,848644020356
S4961-LSG,"Springerii Artificial Hanging Bush - 33""",2,848644020363
S4964-CRP,"Apple Blossom Silk Flower Stem Spray - 33""",2,848644020387
S4965-BTY,"Silk Cherry Blossom Faux Flower Stem - 27""",2,848644018254
S4965-CR,"Silk Cherry Blossom Faux Flower Stem - 27""",2,848644018261
S4965-CRP,"Silk Cherry Blossom Faux Flower Stem - 27""",2,848644018278
S4967-TTG,"Mother In Law's Tounge Artificial Plant - 18""",2,848644020394
