item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id
,S5097-FU,Faux Tulip Bundle,,,0.0,,,zero_weight,no weight set on BigCommerce,6342,6381
,S5097-RD,Faux Tulip Bundle,,,0.0,,,zero_weight,no weight set on BigCommerce,6342,6378
,S5097-TTP,Faux Tulip Bundle,,,0.0,,,zero_weight,no weight set on BigCommerce,6342,6379
,S5097-WH,Faux Tulip Bundle,,,0.0,,,zero_weight,no weight set on BigCommerce,6342,6380
,S5097-YE,Faux Tulip Bundle,,,0.0,,,zero_weight,no weight set on BigCommerce,6342,6377
,S5098,"28"" Faux Iris Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6222,
,S5098-GOR,"28"" Faux Iris Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6222,6648
,S5098-PUYE,"28"" Faux Iris Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6222,6649
,S5099,"30"" Mini Freesia Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6261,
,S5099-LV,"30"" Mini Freesia Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6261,6237
,S5099-WH,"30"" Mini Freesia Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6261,6238
,S6000,"28.5"" Lilac Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6223,
,S6000-CE,"28.5"" Lilac Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6223,6152
,S6000-CRWH,"28.5"" Lilac Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6223,6153
,S6000-PK,"28.5"" Lilac Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6223,6154
,S6000-PU,"28.5"" Lilac Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6223,6155
,S6016-GRCR,"20"" Mini Fittonia Artificial Hanging Bush",,,0.0,,,zero_weight,no weight set on BigCommerce,6262,6239
,S6031-RDOR,"31"" Rosehip Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6240,6195
,S6045-GR,"24"" Artificial Mini English Ivy Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6241,6196
,Stem-2,Test Stem 2,,,0.0,,,zero_weight,no weight set on BigCommerce,6142,
,Stem-2-OR,Test Stem 2,,,0.0,,,zero_weight,no weight set on BigCommerce,6142,5922
,Stem-2-WH,Test Stem 2,,,0.0,,,zero_weight,no weight set on BigCommerce,6142,5923
,Stem-2-YE,Test Stem 2,,,0.0,,,zero_weight,no weight set on BigCommerce,6142,5921
,TEST-VASE,TEST CYLINDER VASE,,,0.0,,,zero_weight,no weight set on BigCommerce,6145,5926
,TRA100-06,6' Deluxe Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5754,5484
,TRA100-07,7' Deluxe Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5755,5485
,TRA100-08,8' Deluxe Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5756,5486
,TRA102-06,6' Trim Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5757,5487
,TRA102-07,7' Trim Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5758,5488
,TRA102-08,8' Trim Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5759,5489
,TRA120-55,5.5' Silk Ficus Bush,,,0.0,,,zero_weight,no weight set on BigCommerce,5760,5490
,TRA120-65,6.5' Silk Ficus Bush,,,0.0,,,zero_weight,no weight set on BigCommerce,5761,5491
TRA220-05,TRA220-05,5' Greenhouse Silk Ficus Tree,10,10.0,0.0,,,zero_weight,sheet expects 10lb,5762,5492
TRA220-06,TRA220-06,6' Greenhouse Silk Ficus Tree,18,18.0,0.0,,,zero_weight,sheet expects 18lb,5763,5493
TRA220-07,TRA220-07,7' Greenhouse Silk Ficus Tree,20,20.0,0.0,,,zero_weight,sheet expects 20lb,5764,5494
,TRA260-10,10' Tall Deluxe Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5765,5495
,TRA260-12,12' Tall Deluxe Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5766,5496
,TRA260-14,14' Tall Deluxe Silk Ficus Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5767,5497
TRA311-05,TRA311-05,5' Ficus Benjamina Silk Tree,8,8.0,0.0,,,zero_weight,sheet expects 8lb,5768,5498
TRA311-06,TRA311-06,6' Ficus Benjamina Silk Tree,20,20.0,0.0,,,zero_weight,sheet expects 20lb,5769,5499
TRA311-07,TRA311-07,7' Ficus Benjamina Silk Tree,18,18.0,0.0,,,zero_weight,sheet expects 18lb,5770,5500
,TRB101-06,6' Deluxe Capensia Silk Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5771,5501
,TRB101-07,7' Deluxe Capensia Silk Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5772,5502
,TRB101-08,8' Deluxe Capensia Silk Tree,,,0.0,,,zero_weight,no weight set on BigCommerce,5773,5503
