item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id,shopify_weight_lb,bc_minus_shopify_lb
FLC224-MP,FLC224-MP,Tropical Breeze Faux Flower Arrangement,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6626,6895,6.0,42.00
FLC229,FLC229,"Gerbera, Rose & Scabiosa Silk Flower Arrangement",6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6629,,,
FLC229,FLC229-PKR,"Gerbera, Rose & Scabiosa Silk Flower Arrangement",6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6629,6901,6.0,42.00
FLC229,FLC229-YEP,"Gerbera, Rose & Scabiosa Silk Flower Arrangement",6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6629,6902,6.0,42.00
FLC436-YEO,FLC436-YEO,Sunshine Harvest Silk Flower Garden Arrangement,7,7.0,80.0,5.00,11.43,multiple_of_16,was=80lb sheet=7lb ratio=11.43,6609,6868,7.0,73.00
FLC999-NA,FLC999-NA,Bittersweet & Birch Silk Flower Arrangement,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6481,6689,6.0,42.00
HDA300,HDA300,Poinsettia & Pine Artificial Holiday Centerpiece,4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6612,,,
HDA300,HDA300-RD,Poinsettia & Pine Artificial Holiday Centerpiece,4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6612,6872,4.0,44.00
HDA300,HDA300-WH,Poinsettia & Pine Artificial Holiday Centerpiece,4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6612,6873,4.0,44.00
HDA301,HDA301,Poinsettia & Mistletoe Artificial Holiday Planter,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6613,,,
HDA301,HDA301-RD,Poinsettia & Mistletoe Artificial Holiday Planter,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6613,6875,6.0,42.00
HDA301,HDA301-WH,Poinsettia & Mistletoe Artificial Holiday Planter,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6613,6876,6.0,42.00
HDA412-RD,HDA412-RD,Ilex Berry & Seeded Eucalyptus Faux Holiday Arrangement,5,5.0,64.0,4.00,12.80,multiple_of_16,was=64lb sheet=5lb ratio=12.80,6614,6877,5.0,59.00
HDA454-WH,HDA454-WH,"Delphinium, Berries & Iced Pine Artificial Holiday Arrangement",5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6488,6696,5.0,43.00
HDA526-RDG,HDA526-RDG,Wispy Pine & Berries Artificial Holiday Arrangement,8,8.0,48.0,3.00,6.00,multiple_of_16,was=48lb sheet=8lb ratio=6.00,6548,6795,8.0,40.00
HDA531-GRR,HDA531-GRR,"Pine, Berry & Cedar Medium Artificial Holiday Centerpiece",5,5.0,48.0,3.00,9.60,multiple_of_16,was=48lb sheet=5lb ratio=9.60,6557,6804,5.0,43.00
HDB456-WHS,HDB456-WHS,White Winter & Silver Artificial Holiday Centerpiece,6,6.0,48.0,3.00,8.00,multiple_of_16,was=48lb sheet=6lb ratio=8.00,6491,6699,6.0,42.00
HDC414-GRR,HDC414-GRR,"Mixed Eucalyptus, Pine & Berries Silk Holiday Garland",4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6296,6312,4.0,44.00
HDC418-RD,HDC418-RD,"Plush Velvet Poinsettia, Pine & Berries Artificial Christmas Holiday Garland",4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6300,6316,4.0,44.00
HDC470-GRR,HDC470-GRR,"Pine, Berry & Cedar 24"" Artificial Holiday Wreath",4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6553,6800,4.0,44.00
HDC472-GRR,HDC472-GRR,"Pine, Berry & Cedar Artificial Holiday Teardrop",4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6554,6801,4.0,44.00
HDC513-GRR,HDC513-GRR,Jingle Bells Artificial Holiday Teardrop,4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6560,6807,4.0,28.00
HDC521-CHG,HDC521-CHG,"Champagne Elegance 30"" Artificial Holiday Wreath",6,6.0,64.0,4.00,10.67,multiple_of_16,was=64lb sheet=6lb ratio=10.67,6565,6812,6.0,58.00
